title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
The Sound of Music,1965,"Biography, Drama, Family",172,USA,"English, German",Robert Wise,"George Hurdalek, Howard Lindsay",Robert Wise Productions,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood, Charmian Carr, Heather Menzies-Urich, Nicholas Hammond, Duane Chase, Angela Cartwright, Debbie Turner, Kym Karath, Anna Lee, Portia Nelson, Ben Wright",8.0,186919,8200000,159287539,159413574,63.0,452.0,131.0
Thunderball,1965,"Action, Adventure, Thriller",130,UK,"English, French",Terence Young,"Richard Maibaum, John Hopkins",Eon Productions,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi, Rik Van Nutter, Guy Doleman, Molly Peters, Martine Beswick, Bernard Lee, Desmond Llewelyn, Lois Maxwell, Roland Culver, Earl Cameron, Paul Stassino, Rose Alba",7.0,97429,9000000,63595658,63595658,64.0,310.0,100.0
"Il buono, il brutto, il cattivo",1966,Western,161,"Italy, Spain, West Germany","Italian, English, Spanish",Sergio Leone,"Luciano Vincenzoni, Sergio Leone",Produzioni Europee Associate (PEA),"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, Enzo Petito, Claudio Scarchilli, John Bartha, Livio Lorenzon, Antonio Casale, Sandro Scarchilli, Benito Stefanelli, Angelo Novi, Antonio Casas",8.8,640904,1200000,25100000,25252481,90.0,984.0,202.0
Who's Afraid of Virginia Woolf?,1966,Drama,131,USA,"English, Latin, Spanish",Mike Nichols,Ernest Lehman,Warner Bros.,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",8.0,65413,7500000,28000000,28005068,75.0,275.0,91.0
The Graduate,1967,"Comedy, Drama, Romance",106,USA,English,Mike Nichols,"Calder Willingham, Buck Henry",Lawrence Turman,"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels, Murray Hamilton, Elizabeth Wilson, Buck Henry, Brian Avery, Walter Brooke, Norman Fell, Alice Ghostley, Marion Lorne, Eddra Gale",8.0,242106,3000000,104945305,104982118,83.0,734.0,189.0
Guess Who's Coming to Dinner,1967,"Comedy, Drama",108,USA,English,Stanley Kramer,William Rose,Columbia Pictures,"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton, Cecil Kellaway, Beah Richards, Roy Glenn, Isabel Sanford, Virginia Christine, Alexandra Hay, Barbara Randolph, D'Urville Martin, Tom Heaton, Grace Gaynor, Skip Martin",7.8,35943,4000000,56666667,56666667,63.0,365.0,67.0
Hang 'Em High,1968,"Drama, Western",114,USA,English,Ted Post,"Leonard Freeman, Mel Goldberg",Leonard Freeman Production,"Clint Eastwood, Inger Stevens, Ed Begley, Pat Hingle, Ben Johnson, Charles McGraw, Ruth White, Bruce Dern, Alan Hale Jr., Arlene Golonka, James Westerfield, Dennis Hopper, L.Q. Jones, Michael O'Sullivan, Joseph Sirola",7.0,32495,1600000,11000000,11000000,62.0,129.0,41.0
The Jungle Book,1967,"Animation, Adventure, Family",78,USA,English,Wolfgang Reitherman,"Larry Clemmons, Ralph Wright",Walt Disney Productions,"Phil Harris, Sebastian Cabot, Bruce Reitherman, George Sanders, Sterling Holloway, Louis Prima, J. Pat O'Malley, Verna Felton, Clint Howard, Chad Stuart, Lord Tim Hudson, John Abbott, Ben Wright, Darleen Carr",7.6,154739,4000000,141843612,210310084,65.0,158.0,126.0
You Only Live Twice,1967,"Action, Adventure, Thriller",117,UK,"English, Japanese, Russian",Lewis Gilbert,"Harold Jack Bloom, Roald Dahl",Eon Productions,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsurô Tanba, Teru Shimada, Karin Dor, Donald Pleasence, Bernard Lee, Lois Maxwell, Desmond Llewelyn, Charles Gray, Tsai Chin, Peter Fanene Maivia, Burt Kwouk, Michael Chow",6.9,90161,9500000,43084787,43084787,61.0,292.0,99.0
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149,"UK, USA","English, Russian",Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",Metro-Goldwyn-Mayer (MGM),"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Douglas Rain, Frank Miller, Bill Weston, Ed Bishop, Glenn Beck, Alan Gifford, Ann Gillis",8.3,558202,12000000,60541301,68763373,82.0,2013.0,254.0
Bullitt,1968,"Action, Crime, Thriller",114,USA,English,Peter Yates,"Alan Trustman, Harry Kleiner",Solar Productions,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon, Robert Duvall, Simon Oakland, Norman Fell, Georg Stanford Brown, Justin Tarr, Carl Reindel, Felice Orlandi, Vic Tayback, Robert Lipton, Ed Peck, Pat Renella",7.4,56438,5500000,511350,511350,83.0,360.0,103.0
Funny Girl,1968,"Biography, Comedy, Drama",151,USA,English,William Wyler,"Isobel Lennart, Isobel Lennart",Columbia Pictures,"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis, Walter Pidgeon, Lee Allen, Mae Questel, Gerald Mohr, Frank Faylen, Mittie Lawrence, Gertrude Flynn, Penny Santon, John Harmon, Thordis Brandt, Bettina Brenna",7.4,17228,14100000,52223306,52224263,89.0,90.0,55.0
Night of the Living Dead,1968,Horror,96,USA,English,George A. Romero,"John A. Russo, George A. Romero",Image Ten,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman, Keith Wayne, Judith Ridley, Kyra Schon, Charles Craig, S. William Hinzman, George Kosana, Frank Doak, Bill Cardille, A.C. McDonald, Samuel R. Solito, Mark Ricci",7.9,108136,114000,236452,236452,89.0,630.0,231.0
The Odd Couple,1968,Comedy,105,USA,English,Gene Saks,"Neil Simon, Neil Simon",Paramount Pictures,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman, David Sheiner, Larry Haines, Monica Evans, Carole Shelley, Iris Adrian",7.7,29686,1200000,44527234,44527234,86.0,127.0,68.0
Planet of the Apes,1968,"Adventure, Sci-Fi",112,USA,English,Franklin J. Schaffner,"Michael Wilson, Rod Serling",APJAC Productions,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daly, Linda Harrison, Robert Gunner, Lou Wagner, Woodrow Parfrey, Jeff Burton, Buck Kartalian, Norman Burton, Wright King, Paul Lambert",8.0,158123,5800000,32589624,32595984,79.0,431.0,147.0
The Producers,1967,"Comedy, Music",88,USA,"English, German",Mel Brooks,Mel Brooks,Crossbow Productions,"Estelle Winwood, Renée Taylor, David Patch, William Hickey, Barney Martin, Shimen Ruskin, Frank Campanella, Josip Elic, Madelyn Cates, John Zoller, Brutus Peck, Anne Ives, Amelie Barleon, Lisa Kirk, Nell Harrison",7.6,47161,941000,328673,375143,96.0,259.0,92.0
Yellow Submarine,1968,"Animation, Adventure, Comedy",90,"UK, USA",English,George Dunning,"Lee Minoff, John Lennon",Apple Corps,"The Beatles, Paul Angelis, John Clive, Dick Emery, Geoffrey Hughes, Lance Percival",7.4,23141,310000,992305,1273261,79.0,164.0,59.0
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",110,USA,"English, Spanish",George Roy Hill,William Goldman,Campanile Productions,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars, Donnelly Rhodes, Jody Gilbert, Timothy Scott, Don Keefer, Charles Dierkop",8.0,191264,6000000,102308889,102310639,66.0,393.0,102.0
Easy Rider,1969,"Adventure, Drama",95,USA,"English, Spanish, Greek, Ancient (to 1453)",Dennis Hopper,"Peter Fonda, Dennis Hopper",Pando Company Inc.,"Peter Fonda, Dennis Hopper, Antonio Mendoza, Phil Spector, Mac Mashourian, Warren Finnerty, Tita Colorado, Luke Askew, Luana Anders, Sabrina Scharf, Sandy Brown Wyeth, Robert Walker Jr., Robert Ball, Carmen Phillips, Ellie Wood Walker",7.3,92580,360000,123276,123276,86.0,403.0,123.0
"Hello, Dolly!",1969,"Adventure, Comedy, Musical",146,USA,English,Gene Kelly,"Michael Stewart, Thornton Wilder",Chenault Productions,"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew, Danny Lockin, E.J. Peaker, Joyce Ames, Tommy Tune, Judy Knaiz, David Hurst, Fritz Feld, Richard Collier, J. Pat O'Malley, Louis Armstrong",7.1,12470,25000000,400881,400881,51.0,120.0,32.0
Midnight Cowboy,1969,"Drama, Western",113,USA,"English, Italian",John Schlesinger,"Waldo Salt, James Leo Herlihy",Jerome Hellman Productions,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver, Brenda Vaccaro, Barnard Hughes, Ruth White, Jennifer Salt, Gilman Rankin, Gary Owens, T. Tom Marlow, George Eppersen, Al Scott, Linda Davis, J.T. Masters",7.8,93226,3600000,44785053,44801177,79.0,371.0,119.0
On Her Majesty's Secret Service,1969,"Action, Adventure, Thriller",142,UK,"English, German, French",Peter R. Hunt,"Simon Raven, Richard Maibaum",Eon Productions,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat, Lois Maxwell, George Baker, Bernard Lee, Bernard Horsfall, Desmond Llewelyn, Yuri Borienko, Virginia North, Geoffrey Cheshire, Irvin Allen, Terence Mountain",6.7,73518,7000000,22774493,22787885,61.0,489.0,104.0
Paint Your Wagon,1969,"Comedy, Drama, Musical",164,USA,English,Joshua Logan,"Alan Jay Lerner, Alan Jay Lerner",Alan Jay Lerner Productions,"Lee Marvin, Clint Eastwood, Jean Seberg, Harve Presnell, Ray Walston, Tom Ligon, Alan Dexter, William O'Connell, Benny Baker, Alan Baxter, Paula Trueman, Robert Easton, Geoffrey Norman, H.B. Haggerty, Terry Jenkins",6.6,11337,20000000,14500000,14500000,50.0,118.0,24.0
Two Mules for Sister Sara,1970,"Adventure, Romance, War",116,"Mexico, USA","English, Spanish, French, Latin",Don Siegel,"Budd Boetticher, Albert Maltz",The Malpaso Company,"Shirley MacLaine, Clint Eastwood, Manolo Fábregas, Alberto Morin, Armando Silvestre, John Kelly, David Povall, Ada Carrasco, Pancho Córdova, José Chávez, Pedro Galván, José Ángel Espinosa 'Ferrusquilla', Enrique Lucero, Aurora Muñoz, Xavier Marc",7.0,21903,2500000,5050000,5050000,62.0,76.0,36.0
Where Eagles Dare,1968,"Action, Adventure, War",158,"UK, USA","English, German",Brian G. Hutton,"Alistair MacLean, Alistair MacLean",Gershwin-Kastner Productions,"Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark, Michael Hordern, Donald Houston, Peter Barkworth, William Squire, Robert Beatty, Brook Williams, Neil McCarthy, Vincent Ball, Anton Diffring, Ferdy Mayne, Derren Nesbitt",7.7,48405,7700000,7100000,7100000,63.0,255.0,54.0
The Wild Bunch,1969,"Action, Adventure, Western",135,USA,"English, Spanish, German",Sam Peckinpah,"Walon Green, Sam Peckinpah",Warner Brothers/Seven Arts,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien, Warren Oates, Jaime Sánchez, Ben Johnson, Emilio Fernández, Strother Martin, L.Q. Jones, Albert Dekker, Bo Hopkins, Dub Taylor, Paul Harper, Jorge Russek",7.9,73451,6244087,638641,638641,95.0,313.0,118.0
Airport,1970,"Action, Drama, Thriller",137,USA,"English, Italian","George Seaton, Henry Hathaway","Arthur Hailey, George Seaton",Universal Pictures,"Burt Lancaster, Dean Martin, Jean Seberg, Jacqueline Bisset, George Kennedy, Helen Hayes, Van Heflin, Maureen Stapleton, Barry Nelson, Dana Wynter, Lloyd Nolan, Barbara Hale, Gary Collins, John Findlater, Jessie Royce Landis",6.6,16269,10000000,100489151,100489151,42.0,183.0,71.0
The AristoCats,1970,"Animation, Adventure, Comedy",78,USA,English,Wolfgang Reitherman,"Larry Clemmons, Vance Gerry",Walt Disney Productions,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers, Paul Winchell, Lord Tim Hudson, Vito Scotti, Thurl Ravenscroft, Dean Clark, Liz English, Gary Dubin, Nancy Kulp, Pat Buttram, George Lindsey, Monica Evans",7.1,85509,4000000,35452658,35459543,66.0,125.0,109.0
Beneath the Planet of the Apes,1970,"Action, Adventure, Sci-Fi",95,USA,English,Ted Post,"Paul Dehn, Mort Abrahams",Twentieth Century Fox,"James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison, Paul Richards, Victor Buono, James Gregory, Jeff Corey, Natalie Trundy, Thomas Gomez, Don Pedro Colley, David Watson, Tod Andrews, Eldon Burke, Gregory Sierra",6.1,39595,3000000,18999718,18999718,46.0,168.0,64.0
Il conformista,1970,Drama,113,"Italy, France, West Germany","Italian, French, Latin, Chinese",Bernardo Bertolucci,"Alberto Moravia, Bernardo Bertolucci",Mars Film,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio, Fosco Giachetti, José Quaglio, Yvonne Sanson, Milly, Antonio Maestri, Alessandro Haber, Luciano Rossi, Massimo Sarchielli, Pierangelo Civera, Giuseppe Addobbati, Christian Aligny",8.0,24130,750000,58657,400747,100.0,110.0,127.0
Kelly's Heroes,1970,"Adventure, Comedy, War",144,USA,"English, French, German",Brian G. Hutton,Troy Kennedy-Martin,Metro-Goldwyn-Mayer (MGM),"Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor, Donald Sutherland, Gavin MacLeod, Hal Buckley, Stuart Margolin, Jeff Morris, Richard Davalos, Perry Lopez, Tom Troupe, Harry Dean Stanton, Dick Balduzzi, Gene Collins",7.6,42362,4000000,5200000,5200000,50.0,198.0,43.0
Little Big Man,1970,"Adventure, Comedy, Drama",139,USA,English,Arthur Penn,"Thomas Berger, Calder Willingham",Cinema Center Films,"Dustin Hoffman, Faye Dunaway, Chief Dan George, Martin Balsam, Richard Mulligan, Jeff Corey, Aimee Eccles, Kelly Jean Peters, Carole Androsky, Robert Little Star, Cal Bellini, Ruben Moreno, Steve Shemayne, William Hickey, James Anderson",7.6,31084,15000000,31559552,31559552,63.0,119.0,58.0
Love Story,1970,"Drama, Romance",100,USA,English,Arthur Hiller,Erich Segal,Paramount Pictures,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype, Katharine Balfour, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Charlotte Ford, Sudie Bond, Julie Garfield",6.9,27788,2200000,106397186,106397186,84.0,167.0,50.0
MASH,1970,"Comedy, Drama, War",116,USA,"English, Japanese, Korean",Robert Altman,"Richard Hooker, Ring Lardner Jr.",Aspen Productions (I),"Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall, Roger Bowen, Rene Auberjonois, David Arkin, Jo Ann Pflug, Gary Burghoff, Fred Williamson, Michael Murphy, Indus Arthur, Ken Prymus, Bobby Troup",7.5,64274,3500000,81600000,81600000,80.0,246.0,121.0
Patton,1970,"Biography, Drama, War",172,USA,"English, German, French, Russian, Arabic, Italian",Franklin J. Schaffner,"Francis Ford Coppola, Edmund H. North",Twentieth Century Fox,"George C. Scott, Karl Malden, Stephen Young, Michael Strong, Carey Loftin, Albert Dumortier, Frank Latimore, Morgan Paull, Karl Michael Vogler, Bill Hickman, Pat Zurica, James Edwards, Lawrence Dobkin, David Bauer, John Barrie",7.9,89435,12000000,61749765,61749765,91.0,277.0,120.0
THX 1138,1971,"Drama, Sci-Fi, Thriller",86,USA,English,George Lucas,"George Lucas, George Lucas",American Zoetrope,"Robert Duvall, Donald Pleasence, Don Pedro Colley, Maggie McOmie, Ian Wolfe, Marshall Efron, Sid Haig, John Pearce, Irene Cagen, Gary Alan Marsh, John Seaton, Eugene I. Stillman, Jack Walsh, Mark Lawhead, Robert Feero",6.7,45363,777000,2437000,2437000,75.0,223.0,85.0
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136,"UK, USA",English,Stanley Kubrick,"Stanley Kubrick, Anthony Burgess",Warner Bros.,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, John Clive, Adrienne Corri, Carl Duering, Paul Farrell, Clive Francis, Michael Gover, Miriam Karlin, James Marcus, Aubrey Morris, Godfrey Quigley, Sheila Raynor",8.3,707569,2200000,26589355,26903440,80.0,1481.0,168.0
Diamonds Are Forever,1971,"Action, Adventure, Thriller",120,UK,"English, German",Guy Hamilton,"Richard Maibaum, Tom Mankiewicz",Eon Productions,"Sean Connery, Jill St. John, Charles Gray, Lana Wood, Jimmy Dean, Bruce Cabot, Putter Smith, Bruce Glover, Norman Burton, Joseph Fürst, Bernard Lee, Desmond Llewelyn, Leonard Barr, Lois Maxwell, Margaret Lacey",6.6,88473,7200000,43819547,43819547,59.0,292.0,97.0
Dirty Harry,1971,"Action, Crime, Thriller",102,USA,English,Don Siegel,"Harry Julian Fink, Rita M. Fink",The Malpaso Company,"Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon, Andrew Robinson, John Larch, John Mitchum, Mae Mercer, Lyn Edgington, Ruth Kobart, Woodrow Parfrey, Josef Sommer, William Paterson, James Nolan, Maurice Argent",7.7,134515,4000000,35976000,35976000,90.0,338.0,136.0
Escape from the Planet of the Apes,1971,"Action, Sci-Fi",98,USA,English,Don Taylor,"Paul Dehn, Pierre Boulle",Twentieth Century Fox,"Roddy McDowall, Kim Hunter, Bradford Dillman, Natalie Trundy, Eric Braeden, William Windom, Sal Mineo, Albert Salmi, Jason Evers, John Randolph, Harry Lauter, M. Emmet Walsh, Roy Glenn, Peter Forster, Norman Burton",6.3,30017,2500000,12348905,12348905,69.0,107.0,62.0
Fiddler on the Roof,1971,"Drama, Family, Musical",181,USA,"English, Hebrew, Russian",Norman Jewison,"Sholom Aleichem, Arnold Perl",The Mirisch Production Company,"Topol, Norma Crane, Leonard Frey, Molly Picon, Paul Mann, Rosalind Harris, Michele Marsh, Neva Small, Paul Michael Glaser, Ray Lovelock, Elaine Edwards, Candy Bonstein, Shimen Ruskin, Zvee Scooler, Louis Zorich",8.0,36048,9000000,10404330,10404330,67.0,162.0,71.0
The French Connection,1971,"Action, Crime, Drama",104,USA,"English, French",William Friedkin,"Ernest Tidyman, Robin Moore",Philip D'Antoni Productions,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco, Marcel Bozzuffi, Frédéric de Pasquale, Bill Hickman, Ann Rebbot, Harold Gary, Arlene Farber, Eddie Egan, André Ernotte, Sonny Grosso, Benny Marino, Patrick McDermott",7.7,101750,1800000,51700000,51700000,94.0,311.0,159.0
The Last Picture Show,1971,Drama,118,USA,English,Peter Bogdanovich,"Larry McMurtry, Peter Bogdanovich",Columbia Pictures,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson, Cloris Leachman, Ellen Burstyn, Eileen Brennan, Clu Gulager, Sam Bottoms, Sharon Ullrick, Randy Quaid, Joe Heathcock, Bill Thurman, Barc Doyle, Jessie Lee Fulton",8.0,38740,1300000,29133000,29146131,93.0,185.0,91.0
Wake in Fright,1971,"Drama, Thriller",109,"UK, Australia, USA",English,Ted Kotcheff,"Evan Jones, Kenneth Cook",NLT Productions,"Donald Pleasence, Gary Bond, Chips Rafferty, Sylvia Kay, Jack Thompson, Peter Whittle, Al Thomas, John Meillon, John Armstrong, Slim DeGrey, Maggie Dence, Norman Erskine, Owen Moase, John Dalleen, Buster Fiddess",7.7,8929,512000,50394,218164,88.0,81.0,142.0
Play Misty for Me,1971,"Drama, Thriller",102,USA,English,Clint Eastwood,"Jo Heims, Dean Riesner",The Malpaso Company,"Clint Eastwood, Jessica Walter, Donna Mills, John Larch, Jack Ging, Irene Hervey, James McEachin, Clarice Taylor, Don Siegel, Duke Everts, George Fargo, Mervin W. Frates, Tim Frawley, Otis Kadani, Britt Lind",7.0,23723,725000,10600000,10600000,78.0,173.0,69.0
Vanishing Point,1971,"Action, Crime, Thriller",99,USA,English,Richard C. Sarafian,"Guillermo Cabrera Infante, Malcolm Hart",Cupid Productions,"Barry Newman, Cleavon Little, Charlotte Rampling, Dean Jagger, Victoria Medlin, Paul Koslo, Robert Donner, Timothy Scott, Gilda Texter, Anthony James, Arthur Malet, Karl Swenson, Severn Darden, Delaney & Bonnie & Friends, Lee Weaver",7.2,25234,1585000,12442673,12442673,61.0,172.0,105.0
Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",100,"USA, East Germany, West Germany","English, French, German, Italian",Mel Stuart,"Roald Dahl, Roald Dahl",Wolper Pictures Ltd.,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear, Julie Dawn Cole, Leonard Stone, Denise Nickerson, Nora Denney, Paris Themmen, Ursula Reit, Michael Bollner, Diana Sowle, Aubrey Woods, David Battley, Günter Meisner",7.8,165384,3000000,526633,526633,67.0,391.0,87.0
Conquest of the Planet of the Apes,1972,"Action, Sci-Fi",88,USA,English,J. Lee Thompson,"Paul Dehn, Pierre Boulle",Twentieth Century Fox,"Roddy McDowall, Don Murray, Ricardo Montalban, Natalie Trundy, Severn Darden, Hari Rhodes, Lou Wagner, John Randolph, Asa Maynor, H.M. Wynant, David Chow, Buck Kartalian, John Dennis, Paul Comi, Gordon Jump",6.1,28493,1700000,9043472,9043472,49.0,104.0,66.0
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,Comedy,88,USA,"English, Italian",Woody Allen,"David Reuben, Woody Allen",Brodsky-Gould Productions,"Woody Allen, John Carradine, Lou Jacobi, Louise Lasser, Anthony Quayle, Tony Randall, Lynn Redgrave, Burt Reynolds, Gene Wilder, Jack Barry, Erin Fleming, Elaine Giftos, Toni Holt Kramer, Robert Q. Lewis, Heather MacRae",6.8,36332,2000000,18016290,18090065,66.0,88.0,59.0
